scenario,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency
baseline_mixed,8,14,27.8605190392,12.6214260665,6.2600000000,8.9790929727,0.0000000000,0.0000000000,1.0000000000,8.9790929727,3.1300000000,0.4207142022
baseline_mixed,7,12,28.3187431140,14.5937890468,6.2600000000,7.4649540672,0.0000000000,0.0000000000,1.0000000000,7.4649540672,3.1300000000,0.4864596349
baseline_mixed,5,9,28.6542021751,17.4256997682,6.2600000000,4.9685024068,0.0000000000,0.0000000000,1.0000000000,4.9685024068,3.1300000000,0.5808566589
baseline_mixed,0,4,29.3002157247,17.4256997682,4.6468532715,0.7750757711,6.4525869139,0.3965100731,0.7423088293,0.7750757711,2.3234266358,0.5808566589
baseline_mixed,8,13,29.3187431140,14.5937890468,6.2600000000,8.4649540672,0.0000000000,0.0000000000,1.0000000000,8.4649540672,3.1300000000,0.4864596349
baseline_mixed,6,10,29.6542021751,17.4256997682,6.2600000000,5.9685024068,0.0000000000,0.0000000000,1.0000000000,5.9685024068,3.1300000000,0.5808566589
baseline_mixed,3,6,30.5675365344,21.4791231733,6.1537787056,2.5097494781,0.4248851775,0.0397494781,0.9830317421,2.5097494781,3.0768893528,0.7159707724
baseline_mixed,2,5,30.5682881002,21.4791231733,5.8678496868,1.6527139875,1.5686012526,0.1429645094,0.9373561800,1.6527139875,2.9339248434,0.7159707724
baseline_mixed,7,11,30.6542021751,17.4256997682,6.2600000000,6.9685024068,0.0000000000,0.0000000000,1.0000000000,6.9685024068,3.1300000000,0.5808566589
baseline_mixed,4,7,31.2892901879,21.4791231733,6.2332776618,3.4700000000,0.1068893528,0.0133611691,0.9957312559,3.4700000000,3.1166388309,0.7159707724
baseline_mixed,1,4,31.6054488518,21.4791231733,5.2858037578,0.9437369520,3.8967849687,0.2910229645,0.8443775971,0.9437369520,2.6429018789,0.7159707724
baseline_mixed,8,12,31.6542021751,17.4256997682,6.2600000000,7.9685024068,0.0000000000,0.0000000000,1.0000000000,7.9685024068,3.1300000000,0.5808566589
baseline_mixed,5,8,32.1957620042,21.4791231733,6.2600000000,4.4566388309,0.0000000000,0.0000000000,1.0000000000,4.4566388309,3.1300000000,0.7159707724
baseline_mixed,6,9,33.1957620042,21.4791231733,6.2600000000,5.4566388309,0.0000000000,0.0000000000,1.0000000000,5.4566388309,3.1300000000,0.7159707724
baseline_mixed,0,3,34.0703757829,21.4791231733,4.2958246347,0.4387265136,7.8567014614,0.4949895616,0.6862339672,0.4387265136,2.1479123173,0.7159707724
baseline_mixed,7,10,34.1957620042,21.4791231733,6.2600000000,6.4566388309,0.0000000000,0.0000000000,1.0000000000,6.4566388309,3.1300000000,0.7159707724
baseline_mixed,3,5,34.5138095238,25.7857142857,6.0619047619,1.8738095238,0.7923809524,0.0914285714,0.9683553933,1.8738095238,3.0309523810,0.8595238095
baseline_mixed,4,6,34.8738095238,25.7857142857,6.2447619048,2.7823809524,0.0609523810,0.0076190476,0.9975657995,2.7823809524,3.1223809524,0.8595238095
baseline_mixed,2,4,35.0471428571,25.7857142857,5.6238095238,1.0928571429,2.5447619048,0.2190476190,0.8983721284,1.0928571429,2.8119047619,0.8595238095
baseline_mixed,8,11,35.1957620042,21.4791231733,6.2600000000,7.4566388309,0.0000000000,0.0000000000,1.0000000000,7.4566388309,3.1300000000,0.7159707724
baseline_mixed,5,7,35.8204761905,25.7857142857,6.2600000000,3.7747619048,0.0000000000,0.0000000000,1.0000000000,3.7747619048,3.1300000000,0.8595238095
baseline_mixed,6,8,36.8204761905,25.7857142857,6.2600000000,4.7747619048,0.0000000000,0.0000000000,1.0000000000,4.7747619048,3.1300000000,0.8595238095
