s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency,simulation_average_daily_cost,simulation_cost_95_ci_low,simulation_cost_95_ci_high,simulation_stockout_rate,simulation_stockout_95_ci_low,simulation_stockout_95_ci_high,simulation_fill_rate,simulation_average_ending_inventory,simulation_average_order_quantity,absolute_cost_gap
3,23,21.8092447584,4.3768840196,6.2264398152,11.0716801844,0.1342407390,0.0130512824,0.9946389481,11.0716801844,3.1132199076,0.1458961340,21.8170821918,21.7789703627,21.8551940209,0.0133972603,0.0125748331,0.0142196874,0.9945172242,11.0704246575,3.1147123288,0.0078374334
4,13,21.8239411819,8.9932386981,6.2447060968,6.5248207743,0.0611756127,0.0076469516,0.9975568845,6.5248207743,3.1223530484,0.2997746233,21.8321095890,21.7846963566,21.8795228214,0.0078904110,0.0072596638,0.0085211581,0.9974850077,6.5149589041,3.1261917808,0.0081684071
4,21,21.9267005658,5.0883791313,6.2513321437,10.5523178656,0.0346714252,0.0043339282,0.9986153584,10.5523178656,3.1256660718,0.1696126377,21.9499178082,21.9110237920,21.9888118245,0.0043972603,0.0039406315,0.0048538891,0.9985985453,10.5610410959,3.1295205479,0.0232172425
3,10,22.0716666867,11.0362993572,6.1707611622,4.5076508160,0.3569553513,0.0345722074,0.9857445946,4.5076508160,3.0853805811,0.3678766452,22.0867808219,22.0349140003,22.1386476435,0.0345890411,0.0332597612,0.0359183210,0.9857162823,4.5038493151,3.0884246575,0.0151141352
3,24,22.1109014423,4.1819381493,6.2279322111,11.5727599262,0.1282711557,0.0124707044,0.9948773500,11.5727599262,3.1139661055,0.1393979383,22.1405753425,22.1017085466,22.1794421383,0.0128082192,0.0120272292,0.0135892092,0.9948348109,11.5840821918,3.1189726027,0.0296739002
4,22,22.1662590593,4.8268733548,6.2517771606,11.0547171864,0.0328913575,0.0041114197,0.9986864474,11.0547171864,3.1258885803,0.1608957785,22.1706712329,22.1325244447,22.2088180210,0.0039589041,0.0035010078,0.0044168005,0.9987370215,11.0430821918,3.1306986301,0.0044121736
4,12,22.2674986101,9.9437288640,6.2441603355,6.0162507527,0.0633586579,0.0079198322,0.9974697022,6.0162507527,3.1220801678,0.3314576288,22.2698356164,22.2230547636,22.3166164692,0.0083561644,0.0076949226,0.0090174062,0.9973371875,6.0106575342,3.1247945205,0.0023370064
5,17,22.2689135862,6.9792498066,6.2600000000,9.0296637796,0.0000000000,0.0000000000,1.0000000000,9.0296637796,3.1300000000,0.2326416602,22.2878356164,22.2471472891,22.3285239437,0.0000000000,0.0000000000,0.0000000000,1.0000000000,9.0303013699,3.1331506849,0.0189220303
5,18,22.2900381595,6.4960573682,6.2600000000,9.5339807913,0.0000000000,0.0000000000,1.0000000000,9.5339807913,3.1300000000,0.2165352456,22.3034383562,22.2655593794,22.3413173329,0.0000000000,0.0000000000,0.0000000000,1.0000000000,9.5334657534,3.1334794521,0.0134001967
5,16,22.3213893602,7.5383136359,6.2600000000,8.5230757243,0.0000000000,0.0000000000,1.0000000000,8.5230757243,3.1300000000,0.2512771212,22.3138767123,22.2696111425,22.3581422822,0.0000000000,0.0000000000,0.0000000000,1.0000000000,8.5087534247,3.1322191781,0.0075126478
5,19,22.3762021555,6.0768260751,6.2600000000,10.0393760804,0.0000000000,0.0000000000,1.0000000000,10.0393760804,3.1300000000,0.2025608692,22.3997534247,22.3617479110,22.4377589383,0.0000000000,0.0000000000,0.0000000000,1.0000000000,10.0425205479,3.1344383562,0.0235512691
4,23,22.4310738781,4.5908648014,6.2521768470,11.5567396178,0.0312926118,0.0039115765,0.9987502951,11.5567396178,3.1260884235,0.1530288267,22.4323424658,22.3926142923,22.4720706392,0.0040273973,0.0035755334,0.0044792611,0.9987188002,11.5491095890,3.1288630137,0.0012685877
5,15,22.4762480474,8.1982658783,6.2600000000,8.0179821691,0.0000000000,0.0000000000,1.0000000000,8.0179821691,3.1300000000,0.2732755293,22.4656027397,22.4227653658,22.5084401137,0.0000000000,0.0000000000,0.0000000000,1.0000000000,8.0026438356,3.1344246575,0.0106453076
